X1,X2,X3,X4,Y
-0.2095502806960461,-0.3188963944822426,-0.42014885826994286,-0.5063625554720114,-0.5717712224535686
-0.3188963944822426,-0.42014885826994286,-0.5063625554720114,-0.5717712224535686,-0.6128421551017231
-0.42014885826994286,-0.5063625554720114,-0.5717712224535686,-0.6128421551017231,-0.6269966627944377
-0.5063625554720114,-0.5717712224535686,-0.6128421551017231,-0.6269966627944377,-0.6117549491266281
-0.5717712224535686,-0.6128421551017231,-0.6269966627944377,-0.6117549491266281,-0.5644872247516175
-0.6128421551017231,-0.6269966627944377,-0.6117549491266281,-0.5644872247516175,-0.4828670681763463
-0.6269966627944377,-0.6117549491266281,-0.5644872247516175,-0.4828670681763463,-0.36723287308477404
-0.6117549491266281,-0.5644872247516175,-0.4828670681763463,-0.36723287308477404,-0.22506936352885154
-0.5644872247516175,-0.4828670681763463,-0.36723287308477404,-0.22506936352885154,-0.06771885938326816
-0.4828670681763463,-0.36723287308477404,-0.22506936352885154,-0.06771885938326816,0.09298432758752107
-0.36723287308477404,-0.22506936352885154,-0.06771885938326816,0.09298432758752107,0.24535541602561328
-0.22506936352885154,-0.06771885938326816,0.09298432758752107,0.24535541602561328,0.37774408632415324
-0.06771885938326816,0.09298432758752107,0.24535541602561328,0.37774408632415324,0.47861241362849216
0.09298432758752107,0.24535541602561328,0.37774408632415324,0.47861241362849216,0.5392810581225254
0.24535541602561328,0.37774408632415324,0.47861241362849216,0.5392810581225254,0.5609555031121285
0.37774408632415324,0.47861241362849216,0.5392810581225254,0.5609555031121285,0.5477618150337866
0.47861241362849216,0.5392810581225254,0.5609555031121285,0.5477618150337866,0.5038178164382683
0.5392810581225254,0.5609555031121285,0.5477618150337866,0.5038178164382683,0.43319834187291484
0.5609555031121285,0.5477618150337866,0.5038178164382683,0.43319834187291484,0.3401327571145265
0.5477618150337866,0.5038178164382683,0.43319834187291484,0.3401327571145265,0.2292080734842361
0.5038178164382683,0.43319834187291484,0.3401327571145265,0.2292080734842361,0.1056901400470982
0.43319834187291484,0.3401327571145265,0.2292080734842361,0.1056901400470982,-0.023875341843811793
0.3401327571145265,0.2292080734842361,0.1056901400470982,-0.023875341843811793,-0.15251771133367542
0.2292080734842361,0.1056901400470982,-0.023875341843811793,-0.15251771133367542,-0.27309531529549713
0.1056901400470982,-0.023875341843811793,-0.15251771133367542,-0.27309531529549713,-0.37842040467521765
-0.023875341843811793,-0.15251771133367542,-0.27309531529549713,-0.37842040467521765,-0.4628744092301176
-0.15251771133367542,-0.27309531529549713,-0.37842040467521765,-0.4628744092301176,-0.5254866109092048
-0.27309531529549713,-0.37842040467521765,-0.4628744092301176,-0.5254866109092048,-0.5674812319092906
-0.37842040467521765,-0.4628744092301176,-0.5254866109092048,-0.5674812319092906,-0.5907222835943575
