X1,X2,X3,Y
-0.39461721816448536,-0.39032166055656214,-0.3818288427647595,-0.37452396463334425
-0.39032166055656214,-0.3818288427647595,-0.37452396463334425,-0.37201132488042277
-0.3818288427647595,-0.37452396463334425,-0.37201132488042277,-0.3700151500885097
-0.37452396463334425,-0.37201132488042277,-0.3700151500885097,-0.366493974946168
-0.37201132488042277,-0.3700151500885097,-0.366493974946168,-0.3605317686297602
-0.3700151500885097,-0.366493974946168,-0.3605317686297602,-0.354069360587807
-0.366493974946168,-0.3605317686297602,-0.354069360587807,-0.3561414553974397
-0.3605317686297602,-0.354069360587807,-0.3561414553974397,-0.3537501550905442
-0.354069360587807,-0.3561414553974397,-0.3537501550905442,-0.3218123777632367
-0.3561414553974397,-0.3537501550905442,-0.3218123777632367,-0.25639987431480893
-0.3537501550905442,-0.3218123777632367,-0.25639987431480893,-0.17918251720042533
-0.3218123777632367,-0.25639987431480893,-0.17918251720042533,-0.06934410552316028
-0.25639987431480893,-0.17918251720042533,-0.06934410552316028,0.054832389519625435
-0.17918251720042533,-0.06934410552316028,0.054832389519625435,0.18917818776285955
-0.06934410552316028,0.054832389519625435,0.18917818776285955,0.32637446104740064
0.054832389519625435,0.18917818776285955,0.32637446104740064,0.4649388351306589
0.18917818776285955,0.32637446104740064,0.4649388351306589,0.5976520258515619
0.32637446104740064,0.4649388351306589,0.5976520258515619,0.7270034846367226
0.4649388351306589,0.5976520258515619,0.7270034846367226,0.8436684671052346
0.5976520258515619,0.7270034846367226,0.8436684671052346,0.9421423900056771
0.7270034846367226,0.8436684671052346,0.9421423900056771,1.0
0.8436684671052346,0.9421423900056771,1.0,0.9900514820921775
0.9421423900056771,1.0,0.9900514820921775,0.9275677528071808
1.0,0.9900514820921775,0.9275677528071808,0.8148380775349662
0.9900514820921775,0.9275677528071808,0.8148380775349662,0.6810109244134255
0.9275677528071808,0.8148380775349662,0.6810109244134255,0.5350328535437887
0.8148380775349662,0.6810109244134255,0.5350328535437887,0.3842525013064988
0.6810109244134255,0.5350328535437887,0.3842525013064988,0.22891001244144116
0.5350328535437887,0.3842525013064988,0.22891001244144116,0.0709660735067148
0.3842525013064988,0.22891001244144116,0.0709660735067148,-0.09368656952439491
0.22891001244144116,0.0709660735067148,-0.09368656952439491,-0.2519273912154807
0.0709660735067148,-0.09368656952439491,-0.2519273912154807,-0.3966912281581494
-0.09368656952439491,-0.2519273912154807,-0.3966912281581494,-0.49566156795689353
-0.2519273912154807,-0.3966912281581494,-0.49566156795689353,-0.5374599996084786
-0.3966912281581494,-0.49566156795689353,-0.5374599996084786,-0.5070025043450941
-0.49566156795689353,-0.5374599996084786,-0.5070025043450941,-0.4408677804584613
-0.5374599996084786,-0.5070025043450941,-0.4408677804584613,-0.3593386519834466
-0.5070025043450941,-0.4408677804584613,-0.3593386519834466,-0.2683247041665453
