X1,X2,X3,Y
-0.20833589225565274,-0.24356585424047683,-0.2829367748805929,-0.32598135093210845
-0.24356585424047683,-0.2829367748805929,-0.32598135093210845,-0.3672801252070853
-0.2829367748805929,-0.32598135093210845,-0.3672801252070853,-0.40951224296660804
-0.32598135093210845,-0.3672801252070853,-0.40951224296660804,-0.44160219558570546
-0.3672801252070853,-0.40951224296660804,-0.44160219558570546,-0.4639280971968721
-0.40951224296660804,-0.44160219558570546,-0.4639280971968721,-0.4544684205513879
-0.44160219558570546,-0.4639280971968721,-0.4544684205513879,-0.43032990595369425
-0.4639280971968721,-0.4544684205513879,-0.43032990595369425,-0.39379821077269916
-0.4544684205513879,-0.43032990595369425,-0.39379821077269916,-0.3499717793941908
-0.43032990595369425,-0.39379821077269916,-0.3499717793941908,-0.3070772520000543
-0.39379821077269916,-0.3499717793941908,-0.3070772520000543,-0.2663006782376284
-0.3499717793941908,-0.3070772520000543,-0.2663006782376284,-0.22166297697334925
-0.3070772520000543,-0.2663006782376284,-0.22166297697334925,-0.17348037353604484
-0.2663006782376284,-0.22166297697334925,-0.17348037353604484,-0.12608975103053133
-0.22166297697334925,-0.17348037353604484,-0.12608975103053133,-0.08035723655774774
-0.17348037353604484,-0.12608975103053133,-0.08035723655774774,-0.03800657889626269
-0.12608975103053133,-0.08035723655774774,-0.03800657889626269,-0.02262552507979876
-0.08035723655774774,-0.03800657889626269,-0.02262552507979876,-0.03605048096182295
-0.03800657889626269,-0.02262552507979876,-0.03605048096182295,-0.057310555646958306
-0.02262552507979876,-0.03605048096182295,-0.057310555646958306,-0.09246944412367097
-0.03605048096182295,-0.057310555646958306,-0.09246944412367097,-0.13425531257736656
-0.057310555646958306,-0.09246944412367097,-0.13425531257736656,-0.18043260305804365
-0.09246944412367097,-0.13425531257736656,-0.18043260305804365,-0.22418639533804496
-0.13425531257736656,-0.18043260305804365,-0.22418639533804496,-0.27210062262436363
-0.18043260305804365,-0.22418639533804496,-0.27210062262436363,-0.3218117968770605
-0.22418639533804496,-0.27210062262436363,-0.3218117968770605,-0.37108203440494814
-0.27210062262436363,-0.3218117968770605,-0.37108203440494814,-0.4201592213445863
-0.3218117968770605,-0.37108203440494814,-0.4201592213445863,-0.46794732184093624
-0.37108203440494814,-0.4201592213445863,-0.46794732184093624,-0.49694940874541593
-0.4201592213445863,-0.46794732184093624,-0.49694940874541593,-0.5329844497358188
-0.46794732184093624,-0.49694940874541593,-0.5329844497358188,-0.5645349352519113
-0.49694940874541593,-0.5329844497358188,-0.5645349352519113,-0.5898961705017692
-0.5329844497358188,-0.5645349352519113,-0.5898961705017692,-0.6089412657959729
-0.5645349352519113,-0.5898961705017692,-0.6089412657959729,-0.629026488619499
-0.5898961705017692,-0.6089412657959729,-0.629026488619499,-0.6469230817831915
-0.6089412657959729,-0.629026488619499,-0.6469230817831915,-0.663278215591493
-0.629026488619499,-0.6469230817831915,-0.663278215591493,-0.674504014299338
-0.6469230817831915,-0.663278215591493,-0.674504014299338,-0.6857286674314295
-0.663278215591493,-0.674504014299338,-0.6857286674314295,-0.6937730340927223
-0.674504014299338,-0.6857286674314295,-0.6937730340927223,-0.7000695321839079
-0.6857286674314295,-0.6937730340927223,-0.7000695321839079,-0.6978353006046396
-0.6937730340927223,-0.7000695321839079,-0.6978353006046396,-0.6888704598248679
-0.7000695321839079,-0.6978353006046396,-0.6888704598248679,-0.6736305702375858
-0.6978353006046396,-0.6888704598248679,-0.6736305702375858,-0.6477042171579941
-0.6888704598248679,-0.6736305702375858,-0.6477042171579941,-0.6145912265692748
-0.6736305702375858,-0.6477042171579941,-0.6145912265692748,-0.5787338778704251
-0.6477042171579941,-0.6145912265692748,-0.5787338778704251,-0.5410758479645627
-0.6145912265692748,-0.5787338778704251,-0.5410758479645627,-0.5037967109808144
-0.5787338778704251,-0.5410758479645627,-0.5037967109808144,-0.46559542955022004
-0.5410758479645627,-0.5037967109808144,-0.46559542955022004,-0.42886256174276627
-0.5037967109808144,-0.46559542955022004,-0.42886256174276627,-0.38913531412061697
