X1,X2,X3,X4,X5,Y
-0.7566558018785672,-0.7487861386284429,-0.7409343906015715,-0.7330974685866916,-0.7252723202828639,-0.7174559258097342
-0.7441347624901574,-0.7360165242559038,-0.7279165520014748,-0.7198316660777621,-0.71175872480132,-0.7036946198360239
-0.7313991124076339,-0.7230354590061931,-0.7146904062443902,-0.7063606857817852,-0.698043068282185,-0.6897343586694582
-0.7184525738595126,-0.709846675034511,-0.7012596960581443,-0.6926882816486297,-0.6841291165508723,-0.6755789206691587
-0.7052988690743038,-0.6964539044960658,-0.687628164170559,-0.678818207628161,-0.6700206354328064,-0.6612320841942348
-0.691941720280526,-0.6828608795460607,-0.673799553309453,-0.6647542176702559,-0.6557213907534007,-0.6466976276037997
-0.6783848497066924,-0.6690713323396955,-0.6597776062026557,-0.6505000657247799,-0.6412351483380714,-0.6319793292569682
-0.664631979581313,-0.6550889950321817,-0.645566065577986,-0.6360595057416014,-0.6265656740122374,-0.6170809675128537
-0.6506868321329095,-0.6409175997787191,-0.6311686741632654,-0.6214362916705916,-0.611716733601315,-0.6020063207305711
-0.6365531295899919,-0.626560878734511,-0.6165891746863178,-0.6066341774616191,-0.5966920929307229,-0.5867591672692334
-0.6222345941810733,-0.612022564054763,-0.601831309874965,-0.5916569170645546,-0.5814955178258774,-0.571343285487956
-0.6077349481346694,-0.5973063878946778,-0.5868988224570313,-0.5765082644292667,-0.5661307741121976,-0.5557624537458516
-0.5930579136792937,-0.5824160824094614,-0.5717954551603377,-0.5611919735056268,-0.5506016276150996,-0.5400204504020332
-0.5782072130434616,-0.5673553797543165,-0.5565249507127087,-0.5457117982435029,-0.5349118441599996,-0.5241210538156157
-0.563186568455686,-0.5521280120844487,-0.5410910518419658,-0.5300714925927638,-0.5190651895723165,-0.508068042345712
-0.5479997021444831,-0.5367377115550613,-0.5254975012759304,-0.5142748105032804,-0.5030654296774664,-0.4918651943514377
-0.5326503363383659,-0.5211882103213571,-0.5097480417424269,-0.498325505924921,-0.48691633030086834,-0.4755162881919055
-0.5171421932658473,-0.5054832405385417,-0.49384641596927636,-0.4822273328075568,-0.4706216572679385,-0.45902510222623083
-0.5014789951554431,-0.4896265343618178,-0.47779636668430314,-0.4659840451010564,-0.45418517640409595,-0.4423954148135235
-0.48566446423566645,-0.4736218239463913,-0.46160163661532894,-0.44959939675529104,-0.4376106535347539,-0.4256310043129018
-0.469702322735033,-0.45747284144746525,-0.44526596849017774,-0.4330771417201259,-0.4209018544853341,-0.4087356490834756
-0.45359629288205594,-0.4411833190202453,-0.42879310503666834,-0.41642103394543517,-0.40406254508124995,-0.3917131274843634
-0.4373500969052512,-0.4247569888199314,-0.4121867889826275,-0.39963482738108425,-0.38709649114792344,-0.37456721787467473
-0.42096745703312877,-0.40819758300173214,-0.3954507630558741,-0.38272227597694763,-0.37000745851076755,-0.35730169861352545
-0.40445209549420735,-0.39150883372084755,-0.3785887699842353,-0.3656871336828903,-0.35279921299520156,-0.339920348060028
-0.3878077345169971,-0.3746944731324865,-0.36160455249552936,-0.34853315444878374,-0.3354755204266415,-0.3224269445732979
-0.37103809633001694,-0.35775823339184853,-0.34450185331758076,-0.33126409222449626,-0.3180401466305064,-0.3048252665124507
-0.35414690316177677,-0.3407038466541398,-0.32728441517821105,-0.31388370095989915,-0.3004968574322151,-0.28711909223659615
-0.3371378772407927,-0.3235350450745631,-0.30995598080524434,-0.29639573460486324,-0.28284941865718116,-0.2693122001048498
-0.32001474079557757,-0.30625556080832406,-0.2925202929265047,-0.2788039471092545,-0.2651015961308233,-0.2514083684763263
